Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Volume,Density
M,1.0,0.7625,0.25,8.901743,3.912231,1.60174675,2.9766975,11.0,0.1141588502344494,77.97681022293395
M,1.6375,1.3125,0.475,38.03085425,17.02387475,8.561549,10.0640725,11.0,0.6426612510846893,59.17713910059334
F,1.575,1.2625,0.4375,36.55668025,16.6411565,8.674947,10.3475675,11.0,0.5476848306027499,66.7476588858009
F,1.7375,1.375,0.5125,47.86813075,20.0430965,10.6310625,13.36678925,11.0,0.7610078688700666,62.900966873146665
M,1.525,1.225,0.4125,30.71668325,14.0330025,6.010094,8.788345,11.0,0.48616759906617213,63.181263640358644
F,1.6875,1.3125,0.5125,39.3774555,17.61921425,8.2497045,12.8990225,11.0,0.6933976656440068,56.789137678200014
M,1.475,1.175,0.4875,29.1149365,12.0485375,7.6827145,8.391452,11.0,0.5286159154285436,55.07767672185355
M,1.5125,1.175,0.4,31.19862475,13.65028425,7.3425205,7.7961125,11.0,0.43373613573624087,71.9299642789555
F,1.4375,1.175,0.3625,27.499015,13.8062065,6.010094,6.9456275,11.0,0.3930733730109683,69.9589870190283
M,1.5125,1.2,0.425,34.8415355,16.612807,6.973977,9.355335,11.0,0.48066367599923837,72.48630849329086
M,1.725,1.375,0.45,53.6656035,26.705229,11.2547515,12.6155275,11.0,0.6682020312029854,80.31343963948166
M,1.5625,1.225,0.3875,29.18581025,12.47378,7.01650125,8.0796075,11.0,0.4567028960924647,63.90546348558954
F,1.6375,1.2625,0.475,40.07201825,16.839603,9.39785925,11.90679,11.0,0.5946292446544141,67.38992172053193
I,1.3375,1.025,0.3875,24.36639525,12.79979925,5.556502,6.80388,11.0,0.31974909135003454,76.2047364923571
M,1.4125,1.1125,0.3875,24.38057,9.3269855,5.48562825,7.7961125,11.0,0.3766705164461071,64.72651544387148
F,1.6,1.25,0.4125,37.37881575,15.081934,9.39785925,10.77281,11.0,0.5062136600022615,73.83999821307273
F,1.6875,1.3125,0.425,44.43784125,19.77377625,9.56795625,11.0279555,11.0,0.5750126983389325,77.28149548413414
F,1.2875,1.0125,0.35,20.87940675,7.69688925,4.309124,6.0951425,11.0,0.2818045425808953,74.09180334275953
I,1.4625,1.1375,0.3875,25.7696955,10.829509,4.89028875,7.5126175,11.0,0.3937897420389108,65.44024068929065
F,1.6,1.2375,0.4375,34.132798,15.06775925,7.98038425,9.07184,11.0,0.526209099572351,64.86546513114207
F,1.3625,1.05,0.325,23.71435675,11.0846545,3.27436725,6.520385,11.0,0.2814179794223482,84.2673833373305
F,1.6,1.225,0.3625,31.99241075,15.97494325,7.257472,9.4970825,11.0,0.4272381931187573,74.88190724818281
F,1.7125,1.3125,0.5,46.42230625,25.004259,10.4042665,12.190285,11.0,0.6764855274575677,68.62276333459597
M,1.4125,1.1125,0.4375,30.1922175,14.92601175,6.36446275,8.0796075,11.0,0.42527316372947577,70.99488064383446
F,1.225,0.9375,0.3125,16.5277585,7.3425205,3.685435,4.819415,11.0,0.21571604829641827,76.61812197342401
M,1.4125,1.1,0.3375,23.3883375,9.87980075,4.9611625,8.0796075,11.0,0.32073697497743303,72.92061509791814
M,1.65,1.3125,0.45,43.3463855,19.447757,7.98038425,12.3887315,11.0,0.608836974711811,71.19538940702103
F,1.4375,1.1125,0.375,27.91008275,12.6155275,6.010094,8.9300925,11.0,0.3645198546252649,76.56670108873007
F,1.5625,1.225,0.4625,33.26813825,14.33067225,8.3064035,8.561549,11.0,0.5450970050135869,61.03159243953426
M,1.6,1.2875,0.4,37.11842925,18.49804875,8.674947,9.4970825,11.0,0.5207680697177207,71.2763155201121
M,1.575,1.225,0.4125,34.06192425,15.46465225,6.917278,8.788345,11.0,0.48616759906617213,70.06210268933171
M,1.525,1.1875,0.4,30.0221205,13.08329425,6.2652395,7.93786,11.0,0.4430136515413732,67.76793535717087
F,1.5625,1.225,0.475,32.431828,14.21727425,7.144074,8.6465975,11.0,0.5598293565004406,57.931631529177366
F,1.7375,1.375,0.5375,58.13064975,24.73493875,12.06271225,14.17475,11.0,0.7981302039368992,72.83354202517546
M,1.5625,1.275,0.45,38.03085425,23.6151335,7.257472,10.0640725,11.0,0.5745433002178396,66.19319072310215
M,1.575,1.225,0.4125,33.622507,14.7133905,7.41339425,10.0640725,11.0,0.48616759906617213,69.15826366171237
F,1.4375,1.125,0.3875,27.68328675,12.71475075,5.99591925,7.087375,11.0,0.3851825758380845,71.87055824050815
F,1.6125,1.3125,0.425,43.318036,19.447757,8.8166945,11.056305,11.0,0.5750126983389325,75.33405110032342
I,1.3875,1.05,0.3375,18.71067,7.69688925,4.66349275,5.386405,11.0,0.2922417478616693,64.02463076170956
I,0.725,0.525,0.2,3.55786225,1.5592225,0.75126175,1.1056305,11.0,0.043295073757284336,82.17706868789881
I,1.2125,0.9125,0.35,18.27125275,7.98038425,4.252425,5.386405,11.0,0.2288883413219923,79.82605249559926
M,1.3625,1.075,0.3875,22.8780465,9.87980075,4.082328,7.7961125,11.0,0.35170497912326826,65.0489696137669
M,1.6875,1.4125,0.4375,50.53298375,23.91280325,9.11436425,12.8423235,11.0,0.6855590238179115,73.71062446028259
F,1.7375,1.35,0.475,49.45570275,21.1770765,11.9918385,10.3475675,11.0,0.6799093725761286,72.7386689237947
F,1.6625,1.2375,0.425,36.55668025,16.5277585,8.60407325,8.788345,11.0,0.5111745538702838,71.51506265954832
F,1.7,1.4125,0.45,47.5988105,21.78659075,11.5949455,12.8990225,11.0,0.7051464244984231,67.50202347527672
M,1.5,1.1875,0.3875,33.89182725,16.82542825,6.78970525,7.9095105,11.0,0.42916947493070523,78.97073121398547
F,1.4125,1.1375,0.35,22.66542525,9.48290775,5.2446575,8.3631025,11.0,0.3556810573254678,63.72401561227896
M,1.525,1.175,0.4125,31.70891575,13.59358525,7.3425205,8.29222875,11.0,0.44729038997799836,70.89111785200599
F,1.2875,0.975,0.3125,15.88989475,7.24329725,3.58621175,4.819415,11.0,0.233318477837406,68.1038848585035
F,1.45,1.15,0.3625,26.308336,11.94931425,5.23048275,8.3631025,11.0,0.37652478827125785,69.87145818682944
F,1.475,1.175,0.35,25.44367625,10.2908685,6.90310325,7.654365,11.0,0.37951911876921074,67.04188271862147
M,1.45,1.15,0.3875,25.64212275,10.84368375,5.08873525,8.0796075,11.0,0.402492015048586,63.70840113910002
M,1.5,1.1875,0.45,30.40483875,13.31009025,6.59125875,8.50485,11.0,0.4983903579840448,61.00607337787495
F,1.5625,1.225,0.4125,31.411246,13.947954,6.30776375,10.0640725,11.0,0.48616759906617213,64.60991242595051
F,1.5625,1.25,0.4875,35.096681,15.06775925,6.4353365,11.056305,11.0,0.5982525072754,58.66533039675764
I,1.3875,1.0625,0.375,23.09066775,10.6877615,5.23048275,6.6621325,11.0,0.3324903357742127,69.44763581242974
F,1.4625,1.1875,0.4625,31.5529935,13.96212875,6.56290925,9.2135875,11.0,0.5122345345947127,61.598723570961845
F,1.95,1.5,0.5375,72.4329725,33.92017675,14.72756525,17.59086475,11.0,0.9498409038587889,76.2580051098415
F,1.55,1.2375,0.4,32.601925,15.52135125,7.29999625,8.50485,11.0,0.4811054624661495,67.76461201018658
F,1.6125,1.2625,0.4125,36.117263,16.612807,8.1363065,9.4970825,11.0,0.516388554568307,69.94202849866315
I,1.2875,0.975,0.3125,14.78426425,5.74077375,4.479221,4.819415,11.0,0.233318477837406,63.36516673275571
M,1.1375,0.9375,0.3,13.96212875,6.13766675,2.96252275,4.3941725,11.0,0.20708740636456155,67.42142844466717
F,1.0,0.775,0.2375,8.23552975,3.458639,1.80019325,2.87747425,11.0,0.1120358208240157,73.50800564880277
F,1.525,1.175,0.425,31.3828965,15.1102835,6.90310325,8.7032965,11.0,0.4608446442197559,68.09864646063875
M,1.675,1.3125,0.4625,44.22522,20.751834,10.44679075,10.3475675,11.0,0.6257491128982502,70.67564154452303
M,1.325,1.0375,0.3875,20.3265915,8.391452,4.706017,5.6699,11.0,0.32759540308006974,62.047853263166346
F,1.6125,1.225,0.4625,35.50774875,12.82814875,6.577084,11.90679,11.0,0.5450970050135869,65.14023820240021
M,1.575,1.225,0.3875,34.8415355,14.35902175,7.2858215,8.788345,11.0,0.4567028960924647,76.28928083903793
F,1.525,1.1875,0.425,32.772022,15.762322,6.81805475,8.9300925,11.0,0.47070200476270896,69.62371451237198
M,1.65,1.2625,0.45,40.78075575,17.93105875,8.49067525,10.9145575,11.0,0.5633329686199713,72.39192098041578
M,1.7125,1.275,0.475,43.6298805,18.8524175,10.33339275,11.509897,11.0,0.606462372452164,71.94161168414682
M,1.575,1.225,0.3875,28.8314415,15.4504775,4.77689075,6.9456275,11.0,0.4567028960924647,63.12953507998501
M,1.35,1.05,0.3375,20.241543,10.9712565,4.876114,5.8116475,11.0,0.2922417478616693,69.26300964221306
I,1.4125,1.05,0.4,21.318824,8.334753,4.819415,7.087375,11.0,0.3463605900582747,61.55095184591624
I,1.3125,1.025,0.325,18.030282,7.98038425,3.8838815,5.953395,11.0,0.26817665726131934,67.23285383645734
I,1.375,1.0625,0.3875,21.70154225,8.46232575,4.139027,6.520385,11.0,0.3435733469666865,63.16421934820288
F,1.3125,1.0625,0.3875,23.586784,9.39785925,4.80524025,7.2291225,11.0,0.3435733469666865,68.6513788343629
M,1.525,1.175,0.4125,30.14969325,13.6928085,6.13766675,8.9300925,11.0,0.44729038997799836,67.40518894555956
M,1.7625,1.4375,0.5125,50.24948875,23.0481435,11.07047975,11.90679,11.0,0.8317627327112916,60.41324860300252
F,1.2375,0.8875,0.3125,14.07552675,6.066793,3.005047,4.1106775,11.0,0.19331992879328794,72.80949686801613
M,1.625,1.3125,0.4375,47.95317925,21.89998875,10.56018875,12.85649825,11.0,0.5919248365253718,81.01227772682685
I,1.35,1.05,0.325,23.51591025,10.24834425,4.63514325,6.0951425,11.0,0.2814179794223482,83.56221694957041
I,1.2625,0.9625,0.3125,17.50581625,7.66853975,4.025629,5.386405,11.0,0.22737430228434918,76.99118182716893
M,1.3625,1.05,0.3125,23.019794,9.76640275,5.57067675,6.6621325,11.0,0.2705942109830271,85.071273019377
F,1.7125,1.35,0.4375,46.436481,22.01338675,11.07047975,11.3681495,11.0,0.6262323168464342,74.15216326401634
F,1.525,1.175,0.4,31.70891575,12.47378,7.52679225,9.07184,11.0,0.43373613573624087,73.10646528488117
I,1.375,1.05,0.35,18.313777,8.1930055,2.948348,6.6621325,11.0,0.3030655163009903,60.428442085808356
F,1.5,1.1875,0.425,39.859397,17.93105875,8.2497045,10.30504325,11.0,0.47070200476270896,84.68074619757353
M,1.6,1.2375,0.425,31.638042,14.50076925,7.41339425,8.9300925,11.0,0.5111745538702838,61.892834376158135
F,1.6375,1.275,0.4375,39.179009,18.313777,10.87203325,10.489315,11.0,0.5585837641006773,70.13989936330928
M,1.725,1.325,0.425,44.26774425,20.2131935,10.56018875,13.04077,11.0,0.5860174765112242,75.53997282391991
M,1.6,1.3125,0.45,34.5013415,11.396499,8.618248,10.20582,11.0,0.608836974711811,56.6676186450913
F,1.4625,1.15,0.4125,29.01571325,12.60135275,6.19436575,8.0796075,11.0,0.4284592418259141,67.72105819528403
F,1.5125,1.2,0.4125,35.096681,13.4660125,8.674947,9.355335,11.0,0.4665265090580843,75.22976790935223
I,1.3,1.0,0.375,16.839603,6.39281225,4.2240755,5.10291,11.0,0.2945243112740431,57.17559588597568
M,1.5125,1.175,0.3625,26.535132,9.48290775,5.9250455,7.1514475,11.0,0.3930733730109683,67.50681634001081
M,1.6125,1.3125,0.5,41.48949325,16.8112535,8.83086925,11.623295,11.0,0.6764855274575677,61.330939932935095
F,1.575,1.2125,0.4,30.900955,13.154168,6.633783,8.50485,11.0,0.4618632074629119,66.90499373124754
M,1.55,1.175,0.4,31.3261975,13.11164375,7.52679225,8.9300925,11.0,0.43373613573624087,72.22408953043691
F,0.9875,0.7625,0.2625,9.922325,3.798833,2.3530085,2.551455,11.0,0.11986679274617187,82.77793017296598
M,1.7125,1.3125,0.4625,43.21881275,19.63202875,10.4609655,11.623295,11.0,0.6257491128982502,69.06731765040087
F,1.4125,1.1125,0.375,22.89222125,9.979024,4.5075705,7.12989925,11.0,0.3645198546252649,62.801027048399725
M,1.5625,1.2125,0.3625,35.81959325,17.4349425,7.2858215,8.9300925,11.0,0.4185635317632639,85.57743456316989
M,1.5375,1.1875,0.4125,37.37881575,16.6411565,7.7394135,9.2135875,11.0,0.456857828152041,81.81717253526065
M,1.6625,1.2875,0.45,38.68289275,15.09610875,9.241937,10.24834425,11.0,0.5858640784324357,66.0270772249797
F,1.7375,1.4,0.4625,50.6962795,23.6151335,9.53960675,13.99047825,11.0,0.7119634351197868,71.20629655857317
M,1.5,1.1625,0.3875,28.5479465,15.29455525,6.95980225,7.93786,11.0,0.41128939486711025,69.41085001528909
F,1.5625,1.2375,0.4125,35.76289425,15.46465225,8.901743,10.0640725,11.0,0.4961400081682166,72.08226238806884
F,1.625,1.2875,0.4375,36.61337925,17.27902025,9.53960675,8.9300925,11.0,0.5695900762537569,64.28022673921807
F,1.7,1.2875,0.425,41.8722115,18.0586315,8.37727725,11.056305,11.0,0.5533160740750782,75.67503179804325
F,1.4625,1.1125,0.4,22.75047375,10.829509,4.57844425,6.6621325,11.0,0.3888211782669493,58.51140581231515
M,1.5125,1.1875,0.425,31.56716825,12.88484775,6.76135575,8.77417025,11.0,0.47070200476270896,67.06401912588771
F,1.6375,1.3125,0.4375,41.31939625,17.973583,8.4765005,11.509897,11.0,0.5919248365253718,69.80514028190963
I,1.35,1.0375,0.3125,19.66037825,9.82310175,3.515338,5.6699,11.0,0.2641898411936046,74.41761636698365
F,1.5625,1.2625,0.4125,33.12639075,13.93377925,7.38504475,10.3475675,11.0,0.516388554568307,64.15012582471577
F,0.9375,0.7,0.2625,8.9300925,3.40194,1.77184375,2.83495,11.0,0.10102183876699677,88.39764360849674
F,1.25,1.0375,0.3375,21.75824125,8.4765005,4.86193925,7.2291225,11.0,0.285325028489093,76.25773793914382
M,1.325,1.0625,0.35,20.96445525,8.845044,3.95475525,6.6621325,11.0,0.3103243133892652,67.55659916244645
M,1.475,1.125,0.3375,23.11901725,10.716111,4.86193925,6.23689,11.0,0.3354815983105897,68.91292209892346
M,1.5375,1.2125,0.4,35.096681,15.03940975,7.98038425,9.63883,11.0,0.4618632074629119,75.98934150393069
M,1.7375,1.3625,0.4625,44.06929775,17.7751365,10.8578585,12.2186345,11.0,0.6743333524121642,65.35239224392402
I,1.4375,1.1,0.3625,24.73493875,10.24834425,5.74077375,7.1724235,11.0,0.3444952694202058,71.80051787541096
F,1.4875,1.175,0.4,32.2333815,10.6877615,6.633783,9.355335,11.0,0.43373613573624087,74.31564687430478
F,1.8,1.3875,0.475,50.24948875,25.401152,11.5949455,12.303683,11.0,0.7182067369264813,69.96521498118967
M,1.525,1.2,0.3625,28.066005,12.8423235,5.57067675,8.50485,11.0,0.409977841293468,68.45737055313181
F,1.7875,1.375,0.4875,54.81375825,25.27357925,11.94931425,11.29727575,11.0,0.7238855338032341,75.72158261267234
F,1.2875,1.025,0.35,20.28406725,8.845044,4.86193925,5.5281525,11.0,0.2888056308968054,70.23432052558492
F,1.65,1.2625,0.475,38.20095125,16.612807,8.2497045,11.94931425,11.0,0.5946292446544141,64.24331058961216
M,1.7,1.4125,0.4375,45.7844425,20.14231975,9.5537815,14.628342,11.0,0.6855590238179115,66.78410014213542
F,1.4875,1.15,0.45,36.0889135,15.989118,6.4920355,8.3631025,11.0,0.4674100819919063,77.21038738874468
M,1.375,1.1375,0.3125,27.442316,10.716111,6.3219385,8.6465975,11.0,0.31757237261202487,86.41279395398169
M,1.6375,1.25,0.4625,40.653183,16.896302,8.54737425,12.2186345,11.0,0.5675728915176873,71.62636483799213
F,1.575,1.2625,0.4625,34.8415355,14.44407025,6.87475375,11.1980525,11.0,0.5789811066371927,60.177327205657456
I,1.2625,1.025,0.3875,21.38969775,9.82310175,5.556502,6.3219385,11.0,0.31974909135003454,66.89525733971313
M,1.6375,1.2875,0.4625,40.25629,17.916884,10.716111,11.1980525,11.0,0.6021380806111145,66.85557897142726
M,1.6125,1.2625,0.5125,38.03085425,15.37960375,7.6827145,11.1980525,11.0,0.6415736587060783,59.277455883554175
M,1.3475,1.0125,0.3625,25.0326085,8.731646,5.17378375,7.7961125,11.0,0.29186899053021303,85.76659156056775
F,1.3375,1.05,0.35,22.4244545,11.09882925,4.09650275,5.726599,11.0,0.3030655163009903,73.99210168711208
M,1.525,1.175,0.425,30.43318825,12.40290625,7.314171,9.7805775,11.0,0.4608446442197559,66.03784731300424
F,1.5,1.1875,0.4375,35.36600125,15.3370795,8.561549,9.7805775,11.0,0.48454618137337685,72.98788559175128
F,1.625,1.275,0.4,36.967748,19.94387325,7.540967,8.3631025,11.0,0.5107051557491907,72.38569570688847
M,1.25,1.0,0.3125,15.88989475,6.6621325,3.8271825,5.2446575,11.0,0.2454369260617026,64.74125554361488
F,1.3125,1.0,0.325,18.24290325,6.36446275,3.78465825,5.8116475,11.0,0.2552544031041707,71.46949485746961
F,1.625,1.2875,0.375,35.096681,17.73261225,9.015141,8.7599955,11.0,0.4882200653603631,71.88701057195298
M,1.4625,1.125,0.4,27.73998575,8.88756825,7.24329725,9.355335,11.0,0.3976078202199582,69.76720360946153
F,1.7,1.35,0.4375,50.8306535,20.1564945,11.963489,13.097469,11.0,0.6262323168464342,81.16900411012288
F,1.4875,1.1375,0.4,28.81726675,11.963489,6.066793,7.5126175,11.0,0.4064926369433918,70.89246921344136
F,1.5875,1.2375,0.475,36.55668025,17.70426275,9.62465525,9.6671795,11.0,0.5713127366785524,63.987161326964284
M,1.4875,1.1625,0.3125,27.62658775,13.25339125,7.144074,7.427569,11.0,0.33168499586057276,83.29164145131583
M,1.475,1.1625,0.3625,26.308336,11.793392,6.05261825,6.80388,11.0,0.3847545951982644,68.37692474197297
F,1.7375,1.325,0.4625,51.5110415,22.2543575,10.24834425,13.324265,11.0,0.6377249009092734,80.7731381141855
M,1.2875,0.9875,0.3,18.01610725,7.10154975,4.63514325,6.6621325,11.0,0.22976577833266287,78.41075107327626
F,1.675,1.3,0.475,43.410852,18.21455375,8.8733935,11.1980525,11.0,0.6304783756673016,68.85383174966744
F,1.7125,1.4,0.4875,50.972401,23.96950225,11.963489,12.85649825,11.0,0.7504479451262617,67.92263384960562
M,1.5625,1.25,0.425,33.06969175,13.777857,8.20718025,9.922325,11.0,0.521553467881118,63.406139133443254
M,1.575,1.225,0.4,34.60056475,15.80484625,7.200773,8.788345,11.0,0.47143524757931843,73.394097975626
M,1.5625,1.2125,0.4125,30.0221205,14.69921575,6.67630725,8.3631025,11.0,0.47629643269612787,63.03242778883838
M,1.4625,1.1375,0.4125,27.08794725,11.679994,6.293589,7.93786,11.0,0.4191955318478728,64.61888353292441
M,1.55,1.25,0.4875,36.3157095,16.42853525,8.2497045,10.20582,11.0,0.5982525072754,60.70297919082919
F,1.675,1.3125,0.4625,43.318036,19.46193175,10.67358675,11.056305,11.0,0.6257491128982502,69.22588479489178
M,1.5,1.125,0.4375,31.2694985,12.99824575,6.3786375,10.20582,11.0,0.43488355336557927,71.90315259798685
F,1.5375,1.2375,0.4125,29.8520235,13.9763035,5.68407475,8.50485,11.0,0.4961400081682166,60.168547201455794
M,1.55,1.225,0.425,31.22697425,11.12717875,7.257472,10.20582,11.0,0.5008999505530258,62.341739534059464
M,1.65,1.3125,0.5,41.39027,20.00057225,9.241937,11.90679,11.0,0.6764855274575677,61.18426532428099
M,1.0125,0.7875,0.2375,7.9095105,3.515338,1.63009625,2.494756,11.0,0.11567902519524408,68.37462959815107
F,1.65,1.325,0.3875,39.41997975,19.6462035,8.448151,9.17106325,11.0,0.5343100521131751,73.77735005002347
F,1.6,1.175,0.4,30.8726055,12.94154675,6.3219385,9.56795625,11.0,0.43373613573624087,71.17831085850298
F,1.5625,1.2125,0.4625,35.62114675,16.045817,8.63242275,10.20582,11.0,0.5340293336289919,66.70260322206796
M,1.4875,1.175,0.4125,30.4190135,15.06775925,6.64795775,8.50485,11.0,0.44729038997799836,68.00730393849122
F,1.4875,1.2375,0.4125,30.94347925,13.50853675,6.577084,8.9300925,11.0,0.4961400081682166,62.36844185222127
F,1.575,1.25,0.4125,35.3518265,17.08057375,6.973977,9.7805775,11.0,0.5062136600022615,69.83578139681585
F,1.6,1.2,0.3875,30.40483875,13.59358525,7.2291225,8.6465975,11.0,0.4382521751757762,69.37749650142658
M,1.675,1.3125,0.425,36.740952,16.03164225,9.65300475,9.63883,11.0,0.5750126983389325,63.895896744776934
F,1.2375,0.95,0.375,16.5277585,5.839997,3.55786225,5.386405,11.0,0.2658081909248239,62.17926709668024
F,1.6,1.275,0.475,41.7588135,19.731252,7.75358825,12.03436275,11.0,0.606462372452164,68.85639636825749
F,1.5625,1.2125,0.4,36.514156,16.20173925,6.56290925,8.60407325,11.0,0.4618632074629119,79.05837791362094
M,1.2875,0.9875,0.35,18.78154375,7.10154975,3.64291075,6.6621325,11.0,0.26806007472144,70.0646814693207
M,1.5375,1.2375,0.4125,36.61337925,17.67591325,8.60407325,8.9300925,11.0,0.4961400081682166,73.79646601204193
M,1.8,1.375,0.45,49.384829,23.57260925,10.92873225,13.60776,11.0,0.6682020312029854,73.9070321457882
F,1.7125,1.3125,0.5125,42.14153175,20.36911575,8.60407325,11.4815475,11.0,0.6933976656440068,60.77541624092463
F,1.1875,0.9375,0.3,15.40795325,6.67630725,3.01922175,4.6776675,11.0,0.20708740636456155,74.40313981660225
M,1.5625,1.15,0.4,29.3417325,11.736693,6.81805475,8.788345,11.0,0.41547562843725006,70.62203049157077
M,1.2375,1.0,0.3375,19.43358225,9.808927,4.649318,5.386405,11.0,0.2650718801466388,73.31438641944693
M,1.45,1.125,0.3375,22.72212425,9.48290775,4.97533725,6.23689,11.0,0.3354815983105897,67.72986764228958
F,1.6875,1.3375,0.4375,37.137845,15.762322,9.11436425,11.1980525,11.0,0.6146891114175945,60.4172813706636
F,1.4625,1.1375,0.3875,31.808139,12.587178,6.67630725,10.489315,11.0,0.3937897420389108,80.77442250097262
F,1.575,1.225,0.3875,29.937072,13.13999325,6.56290925,7.10154975,11.0,0.4567028960924647,65.55043170547115
M,1.5625,1.225,0.4375,37.32211675,17.93105875,8.66077225,10.489315,11.0,0.5156323020398795,72.38126200075314
F,1.3875,1.1,0.4125,26.365035,10.44679075,6.860579,7.5126175,11.0,0.3920118583057514,67.25570780931956
M,1.7,1.3125,0.475,43.4597835,20.68096025,9.96484925,11.1980525,11.0,0.6426612510846893,67.62471430578427
M,1.3375,1.025,0.325,20.184844,9.8372765,4.53592,5.5281525,11.0,0.26817665726131934,75.26696844584532
F,1.3125,1.0125,0.35,19.66037825,8.77417025,4.40834725,5.10291,11.0,0.2818045425808953,69.76600898602001
F,1.2625,0.975,0.3625,19.97222275,8.63242275,4.4508715,6.23689,11.0,0.27064943429139093,73.79369848782756
M,1.6625,1.2875,0.4125,37.35046625,17.179797,8.51902475,10.21999475,11.0,0.5370420718963994,69.54849201685127
F,1.5875,1.25,0.5,35.4652245,17.463292,7.3992195,10.20582,11.0,0.6135923151542565,57.79932965927723
M,1.5625,1.2875,0.45,35.59279725,14.35902175,8.29222875,9.07184,11.0,0.5858640784324357,60.75265332060243
